t,x00,x10,v00,v10,x01,x11,v01,v11,x02,x12,v02,v12,x03,x13,v03,v13,
0.0352,-0.565194,0.139497,-0.821909,0.366431,-0.517196,-0.169203,2.96008,1.49576,0.484596,0.0547778,-0.52985,-1.35751,0.515536,0.374928,1.05249,-1.95249,
0.0356,-0.565917,0.139818,-0.820945,0.363196,-0.516249,-0.168723,2.95911,1.50479,0.484405,0.0542894,-0.530787,-1.35597,0.515704,0.374616,1.05124,-1.95621,
0.036,-0.566639,0.140136,-0.819966,0.359964,-0.515303,-0.16824,2.9581,1.51381,0.484214,0.0538015,-0.531723,-1.35444,0.515872,0.374302,1.05,-1.95993,
0.0364,-0.56736,0.140451,-0.818969,0.356738,-0.514356,-0.167754,2.95703,1.52281,0.484022,0.0533142,-0.532658,-1.3529,0.51604,0.373989,1.04874,-1.96365,
0.0368,-0.568081,0.140764,-0.817957,0.353517,-0.51341,-0.167265,2.95593,1.5318,0.48383,0.0528274,-0.533591,-1.35137,0.516208,0.373674,1.04749,-1.96735,
0.0372,-0.5688,0.141074,-0.816928,0.3503,-0.512464,-0.166774,2.95478,1.54078,0.483638,0.0523412,-0.534522,-1.34984,0.516375,0.373359,1.04623,-1.97105,
0.0376,-0.569518,0.14138,-0.815884,0.347089,-0.511519,-0.166279,2.95358,1.54973,0.483445,0.0518556,-0.535452,-1.34832,0.516542,0.373043,1.04497,-1.97475,
0.038,-0.570236,0.141685,-0.814823,0.343884,-0.510574,-0.165782,2.95234,1.55868,0.483253,0.0513704,-0.536381,-1.34679,0.516709,0.372727,1.04371,-1.97844,
0.0384,-0.570952,0.141986,-0.813746,0.340683,-0.50963,-0.165282,2.95105,1.56761,0.483059,0.0508859,-0.537307,-1.34526,0.516876,0.37241,1.04244,-1.98213,
0.0388,-0.571668,0.142284,-0.812653,0.337489,-0.508685,-0.164779,2.94972,1.57652,0.482866,0.0504018,-0.538233,-1.34374,0.517043,0.372093,1.04117,-1.98581,
0.0392,-0.572383,0.14258,-0.811544,0.3343,-0.507742,-0.164273,2.94835,1.58541,0.482672,0.0499184,-0.539157,-1.34222,0.51721,0.371775,1.0399,-1.98949,
0.0396,-0.573096,0.142872,-0.810419,0.331117,-0.506798,-0.163764,2.94693,1.59429,0.482477,0.0494354,-0.540079,-1.3407,0.517376,0.371456,1.03862,-1.99316,
0.04,-0.573809,0.143162,-0.809279,0.327941,-0.505856,-0.163253,2.94547,1.60315,0.482283,0.0489531,-0.541,-1.33918,0.517542,0.371137,1.03735,-1.99682,
0.0404,-0.574521,0.14345,-0.808123,0.32477,-0.504913,-0.162738,2.94396,1.61199,0.482088,0.0484712,-0.54192,-1.33766,0.517708,0.370817,1.03607,-2.00048,
