t,x0,x1, 
2.125,1.55897,-0.67726,
2.12656,1.55791,-0.680587,
2.12813,1.55685,-0.683921,
2.12969,1.55578,-0.687262,
2.13125,1.5547,-0.690609,
2.13281,1.55362,-0.693962,
2.13437,1.55253,-0.697323,
2.13594,1.55144,-0.70069,
2.1375,1.55034,-0.704064,
2.13906,1.54924,-0.707445,
2.14062,1.54813,-0.710833,
2.14219,1.54702,-0.714228,
2.14375,1.5459,-0.717629,
2.14531,1.54477,-0.721037,
2.14688,1.54365,-0.724452,
2.14844,1.54251,-0.727875,
2.15,1.54137,-0.731304,
2.15156,1.54023,-0.73474,
2.15313,1.53907,-0.738183,
2.15469,1.53792,-0.741632,
2.15625,1.53676,-0.745089,
2.15781,1.53559,-0.748553,
2.15938,1.53442,-0.752024,
2.16094,1.53324,-0.755502,
2.1625,1.53206,-0.758987,
2.16406,1.53087,-0.76248,
2.16562,1.52967,-0.765979,
2.16719,1.52847,-0.769486,
2.16875,1.52727,-0.772999,
2.17031,1.52606,-0.77652,
2.17188,1.52484,-0.780048,
2.17344,1.52362,-0.783583,
2.175,1.52239,-0.787125,
2.17656,1.52116,-0.790675,
2.17813,1.51992,-0.794232,
2.17969,1.51868,-0.797796,
2.18125,1.51743,-0.801367,
2.18281,1.51618,-0.804946,
2.18438,1.51491,-0.808532,
2.18594,1.51365,-0.812125,
2.1875,1.51238,-0.815726,
2.18906,1.5111,-0.819334,
2.19063,1.50982,-0.822949,
2.19219,1.50853,-0.826572,
2.19375,1.50723,-0.830202,
2.19531,1.50593,-0.83384,
2.19687,1.50463,-0.837485,
2.19844,1.50332,-0.841137,
2.2,1.502,-0.844797,
2.20156,1.50068,-0.848465,
2.20312,1.49935,-0.852139,
2.20469,1.49801,-0.855822,
2.20625,1.49667,-0.859512,
2.20781,1.49533,-0.863209,
2.20938,1.49398,-0.866914,
2.21094,1.49262,-0.870626,
2.2125,1.49126,-0.874346,
2.21406,1.48989,-0.878074,
2.21563,1.48851,-0.881809,
2.21719,1.48713,-0.885552,
2.21875,1.48574,-0.889302,
2.22031,1.48435,-0.89306,
2.22188,1.48295,-0.896826,
2.22344,1.48155,-0.900599,
2.225,1.48014,-0.90438,
2.22656,1.47872,-0.908168,
2.22812,1.4773,-0.911964,
2.22969,1.47587,-0.915768,
2.23125,1.47444,-0.91958,
2.23281,1.473,-0.923399,
2.23438,1.47155,-0.927226,
2.23594,1.4701,-0.93106,
2.2375,1.46864,-0.934902,
2.23906,1.46718,-0.938752,
2.24063,1.46571,-0.94261,
2.24219,1.46423,-0.946475,
2.24375,1.46275,-0.950349,
2.24531,1.46126,-0.954229,
2.24688,1.45977,-0.958118,
2.24844,1.45827,-0.962014,
2.25,1.45676,-0.965918,
2.25156,1.45525,-0.96983,
2.25313,1.45373,-0.97375,
2.25469,1.45221,-0.977677,
2.25625,1.45068,-0.981612,
2.25781,1.44914,-0.985555,
2.25937,1.4476,-0.989506,
2.26094,1.44605,-0.993464,
2.2625,1.44449,-0.99743,
2.26406,1.44293,-1.0014,
2.26562,1.44136,-1.00539,
2.26719,1.43979,-1.00938,
2.26875,1.43821,-1.01337,
2.27031,1.43662,-1.01738,
2.27188,1.43503,-1.02139,
2.27344,1.43343,-1.02541,
2.275,1.43183,-1.02944,
2.27656,1.43021,-1.03348,
2.27813,1.4286,-1.03752,
2.27969,1.42697,-1.04157,
2.28125,1.42534,-1.04563,
2.28281,1.4237,-1.0497,
2.28438,1.42206,-1.05377,
2.28594,1.42041,-1.05785,
2.2875,1.41876,-1.06194,
2.28906,1.41709,-1.06604,
2.29062,1.41542,-1.07015,
2.29219,1.41375,-1.07426,
2.29375,1.41207,-1.07838,
2.29531,1.41038,-1.08251,
2.29688,1.40868,-1.08665,
2.29844,1.40698,-1.09079,
2.3,1.40528,-1.09494,
2.30156,1.40356,-1.0991,
2.30313,1.40184,-1.10327,
2.30469,1.40011,-1.10744,
2.30625,1.39838,-1.11162,
2.30781,1.39664,-1.11581,
2.30938,1.39489,-1.12001,
2.31094,1.39314,-1.12421,
2.3125,1.39138,-1.12843,
2.31406,1.38961,-1.13265,
2.31563,1.38784,-1.13687,
2.31719,1.38606,-1.14111,
2.31875,1.38427,-1.14535,
2.32031,1.38248,-1.1496,
2.32187,1.38068,-1.15386,
2.32344,1.37888,-1.15812,
2.325,1.37706,-1.16239,
2.32656,1.37524,-1.16667,
2.32812,1.37342,-1.17096,
2.32969,1.37158,-1.17525,
2.33125,1.36974,-1.17955,
2.33281,1.3679,-1.18386,
2.33438,1.36604,-1.18817,
2.33594,1.36418,-1.1925,
2.3375,1.36232,-1.19683,
2.33906,1.36044,-1.20116,
2.34063,1.35856,-1.20551,
2.34219,1.35668,-1.20986,
2.34375,1.35478,-1.21422,
2.34531,1.35288,-1.21858,
2.34688,1.35098,-1.22295,
2.34844,1.34906,-1.22733,
2.35,1.34714,-1.23172,
2.35156,1.34521,-1.23611,
2.35312,1.34328,-1.24051,
2.35469,1.34134,-1.24492,
2.35625,1.33939,-1.24933,
2.35781,1.33743,-1.25375,
2.35938,1.33547,-1.25818,
2.36094,1.3335,-1.26261,
2.3625,1.33152,-1.26705,
2.36406,1.32954,-1.27149,
2.36563,1.32755,-1.27595,
2.36719,1.32555,-1.28041,
2.36875,1.32355,-1.28487,
2.37031,1.32154,-1.28934,
2.37188,1.31952,-1.29382,
2.37344,1.31749,-1.29831,
2.375,1.31546,-1.3028,
2.37656,1.31342,-1.30729,
2.37813,1.31138,-1.3118,
2.37969,1.30932,-1.3163,
2.38125,1.30726,-1.32082,
2.38281,1.3052,-1.32534,
2.38437,1.30312,-1.32987,
2.38594,1.30104,-1.3344,
2.3875,1.29895,-1.33894,
2.38906,1.29686,-1.34348,
2.39062,1.29475,-1.34803,
2.39219,1.29264,-1.35259,
2.39375,1.29053,-1.35715,
2.39531,1.2884,-1.36171,
2.39688,1.28627,-1.36629,
2.39844,1.28413,-1.37086,
2.4,1.28199,-1.37545,
2.40156,1.27983,-1.38003,
2.40313,1.27767,-1.38463,
2.40469,1.27551,-1.38922,
2.40625,1.27333,-1.39383,
2.40781,1.27115,-1.39843,
2.40938,1.26896,-1.40305,
2.41094,1.26677,-1.40766,
2.4125,1.26456,-1.41228,
2.41406,1.26235,-1.41691,
2.41563,1.26014,-1.42154,
2.41719,1.25791,-1.42618,
2.41875,1.25568,-1.43082,
2.42031,1.25344,-1.43546,
2.42188,1.25119,-1.44011,
2.42344,1.24894,-1.44476,
2.425,1.24668,-1.44942,
2.42656,1.24441,-1.45408,
2.42813,1.24213,-1.45874,
2.42969,1.23985,-1.46341,
2.43125,1.23756,-1.46808,
2.43281,1.23526,-1.47275,
2.43438,1.23296,-1.47743,
2.43594,1.23065,-1.48211,
2.4375,1.22833,-1.4868,
